provincia,anio,poblacion,dpa_provin
Chimborazo,2014,491540.0,06
El Oro,2014,670987.0,07
Esmeraldas,2014,561698.0,08
Guayas,2014,4078939.0,09
Imbabura,2014,445695.0,10
Loja,2014,492523.0,11
Los Ríos,2014,851841.0,12
Manabí,2014,1502715.0,13
Morona Santiago,2014,170152.0,14
Napo,2014,117286.0,15
Pastaza,2014,95685.0,16
Pichincha,2014,2872795.0,17
Tungurahua,2014,540609.0,18
Zamora,2014,102330.0,19
Galápagos,2014,26998.0,20
Sucumbíos,2014,193781.0,21
Orellana,2014,155007.0,22
Santo Domingo,2014,459607.0,23
Santa Elena,2014,346630.0,24
Azuay,2015,774638.0,01
Bolívar,2015,210330.0,02
Cañar,2015,235419.0,03
Carchi,2015,175302.0,04
Cotopaxi,2015,443863.0,05
Chimborazo,2015,495036.0,06
El Oro,2015,683445.0,07
Esmeraldas,2015,567967.0,08
Guayas,2015,4158440.0,09
Imbabura,2015,451794.0,10
Loja,2015,494669.0,11
Los Ríos,2015,867790.0,12
Manabí,2015,1527909.0,13
Morona Santiago,2015,174078.0,14
Napo,2015,119718.0,15
Pastaza,2015,98370.0,16
Pichincha,2015,2931254.0,17
Tungurahua,2015,546729.0,18
Zamora,2015,104161.0,19
Galápagos,2015,27284.0,20
Sucumbíos,2015,196773.0,21
Orellana,2015,159355.0,22
Santo Domingo,2015,469484.0,23
Santa Elena,2015,355363.0,24
Azuay,2016,785615.0,01
Bolívar,2016,210502.0,02
Cañar,2016,236406.0,03
Carchi,2016,177819.0,04
Cotopaxi,2016,450184.0,05
Chimborazo,2016,497820.0,06
El Oro,2016,695673.0,07
Esmeraldas,2016,573816.0,08
Guayas,2016,4235294.0,09
Imbabura,2016,457639.0,10
Loja,2016,496260.0,11
Los Ríos,2016,883393.0,12
Manabí,2016,1552094.0,13
Morona Santiago,2016,177950.0,14
Napo,2016,122096.0,15
Pastaza,2016,101047.0,16
Pichincha,2016,2987359.0,17
Tungurahua,2016,552241.0,18
Zamora,2016,105922.0,19
Galápagos,2016,27579.0,20
Sucumbíos,2016,199696.0,21
Orellana,2016,163582.0,22
Santo Domingo,2016,478160.0,23
Santa Elena,2016,364118.0,24
Azuay,2017,796212.0,01
Bolívar,2017,210337.0,02
Cañar,2017,237181.0,03
Carchi,2017,180357.0,04
Cotopaxi,2017,456171.0,05
Chimborazo,2017,499658.0,06
El Oro,2017,707579.0,07
Esmeraldas,2017,579132.0,08
Guayas,2017,4315276.0,09
Imbabura,2017,463284.0,10
Loja,2017,497317.0,11
Los Ríos,2017,899364.0,12
Manabí,2017,1576190.0,13
Morona Santiago,2017,181784.0,14
Napo,2017,124453.0,15
Pastaza,2017,103642.0,16
Pichincha,2017,3043523.0,17
Tungurahua,2017,557286.0,18
